velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2
0.0,250,250,1.0,0.0004523893421169302
0.25,250,250,1.0,0.0004523893421169302
0.5,250,250,1.0,0.0004523893421169302
0.75,250,250,1.0,0.0004523893421169302
1.0,250,250,1.0,0.0004523893421169302
1.25,250,250,1.0,0.0004523893421169302
1.5,250,250,1.0,0.0004523893421169302
1.75,250,250,1.0,0.0004523893421169302
2.0,250,250,1.0,0.0004523893421169302
2.25,250,250,1.0,0.0004523893421169302
2.5,250,250,1.0,0.0004523893421169302
2.75,250,250,1.0,0.0004523893421169302
3.0,250,250,1.0,0.0004523893421169302
3.25,250,250,1.0,0.0004523893421169302
3.5,250,250,1.0,0.0004523893421169302
3.75,250,250,1.0,0.0004523893421169302
4.0,250,250,1.0,0.0004523893421169302
4.25,250,250,1.0,0.0004523893421169302
4.5,250,250,1.0,0.0004523893421169302
4.75,250,250,1.0,0.0004523893421169302
5.0,250,250,1.0,0.0004523893421169302
5.25,250,250,1.0,0.0004523893421169302
5.5,250,250,1.0,0.0004523893421169302
5.75,250,250,1.0,0.0004523893421169302
6.0,250,250,1.0,0.0004523893421169302
6.25,250,250,1.0,0.0004523893421169302
6.5,250,250,1.0,0.0004523893421169302
6.75,250,250,1.0,0.0004523893421169302
7.0,250,250,1.0,0.0004523893421169302
7.25,250,250,1.0,0.0004523893421169302
7.5,250,250,1.0,0.0004523893421169302
7.75,250,250,1.0,0.0004523893421169302
8.0,250,250,1.0,0.0004523893421169302
8.25,250,250,1.0,0.0004523893421169302
8.5,250,250,1.0,0.0004523893421169302
8.75,250,250,1.0,0.0004523893421169302
9.0,250,250,1.0,0.0004523893421169302
9.25,250,250,1.0,0.0004523893421169302
9.5,250,250,1.0,0.0004523893421169302
9.75,250,250,1.0,0.0004523893421169302
10.0,249,250,0.996,0.0004505797847484625
10.25,248,250,0.992,0.00044877022737999474
10.5,248,250,0.992,0.00044877022737999474
10.75,248,250,0.992,0.00044877022737999474
11.0,247,250,0.988,0.00044696067001152704
11.25,247,250,0.988,0.00044696067001152704
11.5,247,250,0.988,0.00044696067001152704
11.75,246,250,0.984,0.0004451511126430593
12.0,246,250,0.984,0.0004451511126430593
12.25,244,250,0.976,0.0004415319979061239
12.5,243,250,0.972,0.00043972244053765613
12.75,242,250,0.968,0.00043791288316918843
13.0,238,250,0.952,0.0004306746536953175
13.25,238,250,0.952,0.0004306746536953175
13.5,238,250,0.952,0.0004306746536953175
13.75,236,250,0.944,0.00042705553895838207
14.0,235,250,0.94,0.00042524598158991437
14.25,230,250,0.92,0.0004161981947475758
14.5,228,250,0.912,0.00041257908001064036
14.75,227,250,0.908,0.00041076952264217266
15.0,226,250,0.904,0.0004089599652737049
15.25,223,250,0.892,0.00040353129316830175
15.5,219,250,0.876,0.00039629306369443084
15.75,219,250,0.876,0.00039629306369443084
16.0,218,250,0.872,0.00039448350632596314
16.25,217,250,0.868,0.0003926739489574954
16.5,216,250,0.864,0.0003908643915890277
16.75,213,250,0.852,0.00038543571948362453
17.0,212,250,0.848,0.0003836261621151568
17.25,208,250,0.832,0.0003763879326412859
17.5,207,250,0.828,0.00037457837527281817
17.75,202,250,0.808,0.0003655305884304796
18.0,200,250,0.8,0.00036191147369354416
18.25,198,250,0.792,0.00035829235895660876
18.5,191,250,0.764,0.0003456254573773347
18.75,190,250,0.76,0.00034381590000886694
19.0,188,250,0.752,0.0003401967852719315
19.25,178,250,0.712,0.00032210121158725427
19.5,178,250,0.712,0.00032210121158725427
19.75,173,250,0.692,0.00031305342474491566
20.0,171,250,0.684,0.00030943431000798026
20.25,162,250,0.648,0.0002931482936917708
20.5,154,250,0.616,0.000278671834744029
20.75,152,250,0.608,0.0002750527200070936
21.0,150,250,0.6,0.0002714336052701581
21.25,145,250,0.58,0.0002623858184278195
21.5,143,250,0.572,0.00025876670369088406
21.75,139,250,0.556,0.0002515284742170132
22.0,137,250,0.548,0.00024790935948007775
22.25,134,250,0.536,0.0002424806873746746
22.5,133,250,0.532,0.0002406711300062069
22.75,130,250,0.52,0.0002352424579008037
