velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2
0.0,250,250,1.0,0.0004523893421169302
0.25,250,250,1.0,0.0004523893421169302
0.5,250,250,1.0,0.0004523893421169302
0.75,250,250,1.0,0.0004523893421169302
1.0,250,250,1.0,0.0004523893421169302
1.25,250,250,1.0,0.0004523893421169302
1.5,250,250,1.0,0.0004523893421169302
1.75,250,250,1.0,0.0004523893421169302
2.0,250,250,1.0,0.0004523893421169302
2.25,250,250,1.0,0.0004523893421169302
2.5,250,250,1.0,0.0004523893421169302
2.75,250,250,1.0,0.0004523893421169302
3.0,250,250,1.0,0.0004523893421169302
3.25,250,250,1.0,0.0004523893421169302
3.5,250,250,1.0,0.0004523893421169302
3.75,250,250,1.0,0.0004523893421169302
4.0,250,250,1.0,0.0004523893421169302
4.25,250,250,1.0,0.0004523893421169302
4.5,250,250,1.0,0.0004523893421169302
4.75,250,250,1.0,0.0004523893421169302
5.0,250,250,1.0,0.0004523893421169302
5.25,250,250,1.0,0.0004523893421169302
5.5,250,250,1.0,0.0004523893421169302
5.75,250,250,1.0,0.0004523893421169302
6.0,250,250,1.0,0.0004523893421169302
6.25,250,250,1.0,0.0004523893421169302
6.5,250,250,1.0,0.0004523893421169302
6.75,250,250,1.0,0.0004523893421169302
7.0,250,250,1.0,0.0004523893421169302
7.25,250,250,1.0,0.0004523893421169302
7.5,250,250,1.0,0.0004523893421169302
7.75,250,250,1.0,0.0004523893421169302
8.0,250,250,1.0,0.0004523893421169302
8.25,250,250,1.0,0.0004523893421169302
8.5,250,250,1.0,0.0004523893421169302
8.75,250,250,1.0,0.0004523893421169302
9.0,250,250,1.0,0.0004523893421169302
9.25,250,250,1.0,0.0004523893421169302
9.5,250,250,1.0,0.0004523893421169302
9.75,250,250,1.0,0.0004523893421169302
10.0,250,250,1.0,0.0004523893421169302
10.25,250,250,1.0,0.0004523893421169302
10.5,250,250,1.0,0.0004523893421169302
10.75,250,250,1.0,0.0004523893421169302
11.0,250,250,1.0,0.0004523893421169302
11.25,250,250,1.0,0.0004523893421169302
11.5,250,250,1.0,0.0004523893421169302
11.75,250,250,1.0,0.0004523893421169302
12.0,250,250,1.0,0.0004523893421169302
12.25,250,250,1.0,0.0004523893421169302
12.5,250,250,1.0,0.0004523893421169302
12.75,250,250,1.0,0.0004523893421169302
13.0,250,250,1.0,0.0004523893421169302
13.25,250,250,1.0,0.0004523893421169302
13.5,250,250,1.0,0.0004523893421169302
13.75,250,250,1.0,0.0004523893421169302
14.0,250,250,1.0,0.0004523893421169302
14.25,249,250,0.996,0.0004505797847484625
14.5,249,250,0.996,0.0004505797847484625
14.75,249,250,0.996,0.0004505797847484625
15.0,249,250,0.996,0.0004505797847484625
15.25,249,250,0.996,0.0004505797847484625
15.5,249,250,0.996,0.0004505797847484625
15.75,249,250,0.996,0.0004505797847484625
16.0,248,250,0.992,0.00044877022737999474
16.25,248,250,0.992,0.00044877022737999474
16.5,248,250,0.992,0.00044877022737999474
16.75,248,250,0.992,0.00044877022737999474
17.0,248,250,0.992,0.00044877022737999474
17.25,248,250,0.992,0.00044877022737999474
17.5,247,250,0.988,0.00044696067001152704
17.75,246,250,0.984,0.0004451511126430593
18.0,246,250,0.984,0.0004451511126430593
18.25,246,250,0.984,0.0004451511126430593
18.5,246,250,0.984,0.0004451511126430593
18.75,245,250,0.98,0.0004433415552745916
19.0,242,250,0.968,0.00043791288316918843
19.25,242,250,0.968,0.00043791288316918843
19.5,242,250,0.968,0.00043791288316918843
19.75,242,250,0.968,0.00043791288316918843
20.0,241,250,0.964,0.0004361033258007207
20.25,239,250,0.956,0.0004324842110637852
20.5,234,250,0.936,0.00042343642422144667
20.75,233,250,0.932,0.00042162686685297897
21.0,232,250,0.928,0.00041981730948451127
21.25,231,250,0.924,0.0004180077521160435
21.5,230,250,0.92,0.0004161981947475758
21.75,230,250,0.92,0.0004161981947475758
22.0,230,250,0.92,0.0004161981947475758
22.25,225,250,0.9,0.0004071504079052372
22.5,225,250,0.9,0.0004071504079052372
22.75,220,250,0.88,0.0003981026210628986
