disc_index,point_index,base_timeout_detected,base_evaluation_timeout_count,base_evaluation_timeout_speeds_m_per_s_json,accepted_max_simulation_time_s,accepted_coarse_time_step_s,accepted_time_step_s,adaptive_audit_level_count,adaptive_audit_evidence_json,adaptive_max_duration_s,adaptive_coarse_time_step_s,adaptive_fine_time_step_s,accepted_trapped_velocity_lower_m_per_s,accepted_untrapped_velocity_upper_m_per_s,accepted_lower_classification,accepted_upper_classification,base_capture_velocity_m_per_s,coarse_capture_velocity_m_per_s,fine_capture_velocity_m_per_s,coarse_trapped_velocity_lower_m_per_s,coarse_untrapped_velocity_upper_m_per_s,fine_trapped_velocity_lower_m_per_s,fine_untrapped_velocity_upper_m_per_s,coarse_lower_classification,coarse_upper_classification,fine_lower_classification,fine_upper_classification,timeout_node_coarse_results_json,timeout_node_fine_results_json,coarse_evaluation_timeout_count,coarse_evaluation_timeout_speeds_m_per_s_json,fine_evaluation_timeout_count,fine_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_coarse_evaluation_timeout_count,pre_adaptive_coarse_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_fine_evaluation_timeout_count,pre_adaptive_fine_evaluation_timeout_speeds_m_per_s_json,timeout_resolution_status,timeout_resolution_reason,zero_threshold_audit_status,zero_threshold_audit_reason,velocity_resolved_override
0,0,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,1,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.0,1.25,bounded_core_residence,escaped,0.0,1.0,1.0,1.0,1.25,1.0,1.25,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,2,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,1.0,1.25,1.0,1.25,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,3,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,4,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,1.5,escaped,escaped,0.0,0.0,0.0,0.0,1.5,0.0,1.5,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,5,True,1,[0.25],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,0.25,escaped,escaped,0.0,0.0,0.0,0.0,0.25,0.0,0.25,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,6,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.25,1.5,two_core_entries,escaped,0.0,1.25,1.25,1.25,1.5,1.25,1.5,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,7,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,bounded_core_residence,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,8,True,1,[0.25],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,0.25,escaped,escaped,0.0,0.0,0.0,0.0,0.25,0.0,0.25,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_confirmed_zero_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",confirmed_zero_capture,dual-timestep direct velocity scan contains no capture,False
0,9,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,1.0,escaped,escaped,0.0,0.0,0.0,0.0,1.0,0.0,1.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,10,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,bounded_core_residence,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,11,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.0,1.25,bounded_core_residence,escaped,0.0,1.0,1.0,1.0,1.25,1.0,1.25,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,12,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,1.25,escaped,escaped,0.0,0.0,0.0,0.0,1.25,0.0,1.25,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,13,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,14,True,1,[0.0],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,0.75,1.0,0.75,1.0,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,15,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,1.0,1.25,1.0,1.25,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_grid_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,16,True,2,"[0.0,0.25]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,1.25,escaped,escaped,0.0,0.0,0.0,0.0,1.25,0.0,1.25,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
