disc_index,point_index,base_timeout_detected,base_evaluation_timeout_count,base_evaluation_timeout_speeds_m_per_s_json,accepted_max_simulation_time_s,accepted_time_step_s,accepted_trapped_velocity_lower_m_per_s,accepted_untrapped_velocity_upper_m_per_s,accepted_lower_classification,accepted_upper_classification,base_capture_velocity_m_per_s,coarse_capture_velocity_m_per_s,fine_capture_velocity_m_per_s,coarse_lower_classification,coarse_upper_classification,fine_lower_classification,fine_upper_classification,timeout_node_coarse_results_json,timeout_node_fine_results_json,coarse_evaluation_timeout_count,coarse_evaluation_timeout_speeds_m_per_s_json,fine_evaluation_timeout_count,fine_evaluation_timeout_speeds_m_per_s_json,timeout_resolution_status,timeout_resolution_reason,zero_threshold_audit_status,zero_threshold_audit_reason,velocity_resolved_override
0,10,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,bounded_core_residence,escaped,0.0,0.75,0.75,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,11,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,bounded_core_residence,escaped,0.0,1.0,1.0,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,12,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,bounded_core_residence,escaped,bounded_core_residence,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,13,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,14,True,1,[0.0],0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,15,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,16,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,bounded_core_residence,escaped,bounded_core_residence,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,17,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,18,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.5,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,19,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.5,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,20,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,21,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
0,22,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.5,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,23,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.0,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,24,True,1,[0.25],0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,0,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.75,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,1,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,2,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,3,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.75,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,4,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,5,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,2.25,escaped,escaped,0.0,0.0,0.0,escaped,bounded_core_residence,escaped,bounded_core_residence,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,6,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,7,True,2,"[0.3125,0.625]",0.2,2.5e-06,0.7763671875,0.927734375,two_core_entries,escaped,0.15625,0.7763671875,0.7763671875,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":0.3125,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":0.625,""trapped"":true,""termination_reason"":""two_core_entries""}]","[{""speed_m_per_s"":0.3125,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":0.625,""trapped"":true,""termination_reason"":""two_core_entries""}]",0,[],0,[],dual_step_research_recovered_boundary,targeted timeout-node or endpoint evidence changed or remained non-definitive; complete timeout-free 200 ms coarse/fine searches recovered compatible brackets,not_applicable,positive scalar capture threshold,False
1,8,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,bounded_core_residence,escaped,bounded_core_residence,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,9,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.25,escaped,escaped,0.0,0.0,0.0,escaped,bounded_core_residence,escaped,bounded_core_residence,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,10,True,1,[0.0],0.2,2.5e-06,1.25,1.5,two_core_entries,escaped,0.0,1.25,1.25,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,11,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,12,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.5,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,13,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.0,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,14,True,2,"[0.0,0.25]",0.2,2.5e-06,2.25,2.5,bounded_core_residence,escaped,0.0,2.25,2.25,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,15,True,3,"[0.15625,0.3125,0.625]",0.2,2.5e-06,0.75,1.0,bounded_core_residence,escaped,0.0,0.75,0.75,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,16,True,2,"[0.0,0.25]",0.2,2.5e-06,1.5,1.75,two_core_entries,escaped,0.0,1.5,1.5,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,17,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,1.75,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,18,True,2,"[0.0,0.25]",0.2,2.5e-06,2.25,2.5,two_core_entries,escaped,0.0,2.25,2.25,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,19,True,2,"[1.982421875,2.12890625]",0.2,2.5e-06,2.12890625,2.275390625,two_core_entries,escaped,1.8359375,2.12890625,2.12890625,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":1.982421875,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":2.12890625,""trapped"":true,""termination_reason"":""two_core_entries""}]","[{""speed_m_per_s"":1.982421875,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":2.12890625,""trapped"":true,""termination_reason"":""two_core_entries""}]",0,[],0,[],dual_step_research_recovered_boundary,targeted timeout-node or endpoint evidence changed or remained non-definitive; complete timeout-free 200 ms coarse/fine searches recovered compatible brackets,not_applicable,positive scalar capture threshold,False
1,20,True,2,"[0.0,0.25]",0.2,2.5e-06,0.25,0.5,bounded_core_residence,escaped,0.0,0.25,0.25,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,21,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,22,True,2,"[0.0,0.25]",0.2,2.5e-06,1.5,1.75,two_core_entries,escaped,0.0,1.5,1.5,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
1,23,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
1,24,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,2.25,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
2,0,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,bounded_core_residence,bounded_core_residence,bounded_core_residence,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,1,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,bounded_core_residence,escaped,0.0,0.75,0.75,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,2,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.25,escaped,escaped,0.0,0.0,0.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
2,3,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,bounded_core_residence,bounded_core_residence,bounded_core_residence,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,4,True,2,"[0.0,0.25]",0.2,2.5e-06,0.0,0.75,escaped,escaped,0.0,0.0,0.0,escaped,two_core_entries,escaped,two_core_entries,[],[],0,[],0,[],zero_threshold_velocity_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
2,5,True,1,[0.0],0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,two_core_entries,two_core_entries,two_core_entries,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,6,True,2,"[0.0,0.25]",0.2,2.5e-06,0.5,0.75,two_core_entries,escaped,0.0,0.5,0.5,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,7,True,2,"[0.0,0.25]",0.2,2.5e-06,0.25,0.5,two_core_entries,escaped,0.0,0.25,0.25,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,8,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,9,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,10,True,2,"[0.0,0.25]",0.2,2.5e-06,0.5,0.75,bounded_core_residence,escaped,0.0,0.5,0.5,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,11,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,bounded_core_residence,escaped,0.0,1.0,1.0,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,12,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,13,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,14,True,2,"[0.0,0.25]",0.2,2.5e-06,0.75,1.0,two_core_entries,escaped,0.0,0.75,0.75,bounded_core_residence,two_core_entries,bounded_core_residence,two_core_entries,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
2,15,True,2,"[0.0,0.25]",0.2,2.5e-06,1.0,1.25,two_core_entries,escaped,0.0,1.0,1.0,two_core_entries,bounded_core_residence,two_core_entries,bounded_core_residence,[],[],0,[],0,[],zero_threshold_grid_resolved_capture,base-search timeout evidence was superseded by the complete 200 ms dual-timestep zero-threshold audit,grid_resolved_capture,dual-timestep direct grid recovered a contiguous zero-origin capture boundary,False
